query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,feature_id,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
11,0.6649,162.0081,687.2941,525.2860,YWLAQSLUIQTZON,Okaramine C,CC(C)(C=C)C1=C(C2=CC=CC=C2N1)CC3C(=O)N4[C@H](C[C@@]5([C@H]4N(C6=CC=CC=C65)C(C)(C)C=C)O)C(=O)N3,452.7050,21,,,,,,"Indole diketopiperazine alkaloids (L-Trp, L-Trp)",Peptide alkaloids,Alkaloids; Amino acids and Peptides
12,0.9160,0.0001,695.2901,695.2900,MUZNNCNJBAPYJF,Nomilinic acid 17-glucoside,CC(=O)OC(CC(=O)O)C1(C2CCC(C3(C2(C(=O)CC1C(C)(C)O)C)C(O3)C(=O)O)(C)C(C4=COC=C4)OC5C(C(C(C(O5)CO)O)O)O)C,463.5390,22,,,,,,Limonoids,Triterpenoids,Terpenoids
13,0.8226,88.0277,635.2673,723.2950,IIUWCHJZJFSKMD,euphodendroidin F,C[C@@]1(O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,457.4820,23,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
14,0.9415,0.0008,777.2958,777.2950,IINDQALFBNRRJE,13_-hydroxyterracinolide G,O[C@]12[C@@]([C@@H](OC(C)=O)[C@@](OC(C)=O)(C)C2)([H])[C@@H](OC3=O)[C@](CC3)(OC(C)=O)[C@H](OC(C(C)C)=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C(C)(C)/C=C/[C@@](C)(O)C1=O,457.7340,25,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
15,0.7184,31.1138,722.3152,753.4290,PICZCWCKOLHDOJ,Axinastatin 1,O=C(N[C@@H](C(C)C)C(N[C@H](CC(N)=O)C(N1[C@@H](CCC1)C(N[C@@H](CC2=CC=CC=C2)C(N[C@H](C(C)C)C(N[C@H]3C(C)C)=O)=O)=O)=O)=O)[C@@H]4N(C3=O)CCC4,457.3860,29,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Oligopeptides,Cyclic peptides,Oligopeptides,Amino acids and Peptides
16,0.8966,0.0014,675.2624,675.2610,UFLYYPBSJUQZFA,"(2R,3R,4S,5R,7S,8R,9S,13R,15R)-3,5,7,9,14,15-Hexaacetoxy-8-hydroxy-14-oxojatropha-6(17),11E-diene / jatrophane ester isolated from Euphorbia amygdaloides ssp semiperfoliata",C[C@@]1(OC(C)=O)C[C@@](C([C@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](O)[C@@H](OC(C)=O)C([C@@H]2OC(C)=O)=C)=O)(OC(C)=O)[C@]2([H])[C@H]1OC(C)=O,465.6090,32,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
17,0.7174,83.0310,680.3010,597.2700,ONCMJSZOSXHIGN,"(3S,4S,21R)-14-Ethyl-9-(hydroxymethyl)-21-(methoxycarbonyl)-4,8,13,18-tetramethyl-20-oxo-3-phorbinepropanoic acid",OC(CC[C@H]1[C@@H](C2=N/C1=C([C@@H](C(OC)=O)C3=O)\C4=C3C(C)=C(N4)/C=C5N=C(C(C)=C\5CC)/C=C(N/6)/C(CO)=C(C6=C\2)C)C)=O,462.0740,33,,,,,,Carbazole alkaloids,Tryptophan alkaloids,Alkaloids
18,0.8661,0.0036,697.3026,697.2990,OYUVUBMEBPNFOT,"7-O-acetyl-5,14-O-dibenzoyl-3-propanoyl-13,17-oxypremyrsinol",CC1(C)[C@@]2([H])[C@]1([H])C[C@@H](OC(C)=O)[C@@]3(CO4)[C@H](OC(C5=CC=CC=C5)=O)[C@@]6([H])[C@@H](OC(CC)=O)[C@@H](C)C[C@]6(O)[C@@H](OC(C7=CC=CC=C7)=O)[C@@]4(C)[C@@]32[H],468.9250,34,,,,,,Myrsinane diterpenoids,Diterpenoids,Terpenoids
19,0.8426,74.0581,719.2879,793.3460,IUQRTVVZUXBHMO,euphodendroidin M,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C(C)C)=O)C([C@@H]2OC(C(C)C)=O)=C)=O)[C@]2([H])[C@H]1OC(C3=CC=CC=C3)=O,473.6970,35,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
20,0.8226,71.0232,694.2868,765.3100,ZRMFMDZIHZKFHY,euphodendroidin L,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,475.7000,36,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
21,0.6611,44.0533,658.2833,614.2300,HRHHAUYCXBULEA,"(S)-4-((7-acetamido-1,2,3-trimethoxy-9-oxo-5,6,7,9-tetrahydrobenzo[a]heptalen-10-yl)amino)-N-(3-(methylthio)phenyl)butanamide",O=C1C=C2C(=CC=C1NCCCC(=O)NC=3C=CC=C(SC)C3)C4=C(OC)C(OC)=C(OC)C=C4CCC2NC(=O)C,476.7740,38,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Gamma amino acids and derivatives,Phenethylisoquinoline alkaloids,Tyrosine alkaloids,Alkaloids
22,0.8217,40.0677,549.2433,589.3110,WHPZSYIEWQPEHY,"putative ""12b-O-[deca-2Z,4E,6E-trienoyl]-13_-isobutyroyloxy-4b-deoxyphorbol"" or putative isomer",[H][C@]12[C@]3([H])C=C(CO)C[C@]4([H])C(C(C)=C[C@@]4([H])[C@@]3(O)[C@H](C)[C@@H](OC(/C=C\C=C\C=C\CCC)=O)[C@@]1(OC(C(C)C)=O)C2(C)C)=O,482.9770,40,,,,,,Tetracyclic diterpenoids; Tigliane diterpenoids,Diterpenoids,Terpenoids
23,0.8910,0.0010,777.2960,777.2950,IINDQALFBNRRJE,13_-hydroxyterracinolide G,O[C@]12[C@@]([C@@H](OC(C)=O)[C@@](OC(C)=O)(C)C2)([H])[C@@H](OC3=O)[C@](CC3)(OC(C)=O)[C@H](OC(C(C)C)=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C(C)(C)/C=C/[C@@](C)(O)C1=O,487.1540,42,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
24,0.8226,50.0109,673.2841,723.2950,IIUWCHJZJFSKMD,euphodendroidin F,C[C@@]1(O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,498.4720,43,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
25,0.9385,0.0009,736.2961,736.2970,PLOQCCJPPQJNFO,euphodendroidin P,C[C@@]1(O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CN=C2)=O)C([C@@H]3OC(C4=CC=CC=C4)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,504.9130,44,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
26,0.6611,149.1359,714.2919,565.1560,OVMFOVNOXASTPA,Isoshaftoside,O=C1C=C(OC2=C1C(O)=C(C(O)=C2C3OC(CO)C(O)C(O)C3O)C4OCC(O)C(O)C4O)C=5C=CC(O)=CC5,505.0830,46,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid 8-C-glycosides,Flavones,Flavonoids,Shikimates and Phenylpropanoids
27,0.8217,85.0147,694.2867,609.2720,TXOKSKCKTYISQV,3.10S-Hydroxypheophorbide a,OC(CC[C@H]1[C@@H](C2=N/C1=C([C@](C(OC)=O)(O)C3=O)\C4=C3C(C)=C(N4)/C=C5N=C(C(C)=C\5CC)/C=C(N/6)/C(C=C)=C(C6=C\2)C)C)=O,505.8100,47,,,,,,,Tryptophan alkaloids,Alkaloids
28,0.7174,7.9373,688.3323,680.3950,UNCVXXVJJXJZII,Nodulisporic Acid A,CC(=C)[C@H]1C(=O)C2=C3N1C4=C(C3=CC5=C2[C@H]([C@H]6C5=CC(OC6(C)C)(C)C)O)C[C@H]7[C@]4([C@]8(CC[C@@H]([C@@]([C@@H]8CC7)(C)/C=C/C=C(\C)/C(=O)O)O)C)C,518.8930,48,,,,,,Indole-Diterpenoid alkaloids (Penitrems),Tryptophan alkaloids,Alkaloids; Terpenoids
29,0.6611,44.9751,791.3051,746.3300,VLOLGVKDVDYZDC,"N-((S)-1,2,3-trimethoxy-10-(((S)-4-(methylthio)-1-oxo-1-(4-(piperidin-1-ylsulfonyl)-1,4-diazepan-1-yl)butan-2-yl)amino)-9-oxo-5,6,7,9-tetrahydrobenzo[a]heptalen-7-yl)acetamide",O=C1C=C2C(=CC=C1NC(C(=O)N3CCN(CCC3)S(=O)(=O)N4CCCCC4)CCSC)C5=C(OC)C(OC)=C(OC)C=C5CCC2NC(=O)C,525.8260,50,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Methionine and derivatives,,,Alkaloids
30,0.9557,0.0005,688.3323,688.3328,RIPYIJVYDYCPKW,Acetylaconitine,CCN1CC2(COC)[C@H]3C(OC)C4[C@@H]1C3([C@@H]1C[C@@]3(O)C(OC(=O)C5=CC=CC=C5)[C@@H]1[C@]4(OC(C)=O)C(O)[C@@H]3OC)C(CC2OC(C)=O)OC,526.7670,51,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Aconitane-type diterpenoid alkaloids,Terpenoid alkaloids,Pseudoalkaloids,Alkaloids; Terpenoids
31,0.7114,171.0452,710.3112,539.2660,OLZIYBXKPFKZKD,"2.(3S,4S)-14-Ethyl-9-(hydroxymethyl)-4,8,13,18-tetramethyl-20-oxo-3-phorbinepropanoic acid",OC(CC[C@H]1[C@@H](C2=N/C1=C(CC3=O)\C4=C3C(C)=C(N4)/C=C5N=C(C(C)=C\5CC)/C=C(N/6)/C(CO)=C(C6=C\2)C)C)=O,527.9370,52,,,,,,Carboline alkaloids,Tryptophan alkaloids,Alkaloids
32,0.6649,37.0180,744.3200,707.3020,KYOXKUIYXAIFBB,euphodendroidin E,C[C@H]1C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,532.8390,53,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
33,0.6649,14.1285,631.2745,617.1460,NDSUKTASTPEKBX,"8-[(2S,3R,4R,5S,6R)-3,4-dihydroxy-6-(hydroxymethyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O,541.4390,55,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid 8-C-glycosides,Flavones,Flavonoids,Shikimates and Phenylpropanoids
34,0.8889,0.0037,653.2537,653.2500,WPPPFZJNKLMYBW,13-Acetyl-9-dihydrobaccatin III,O=C(OC1C2C3(OC(=O)C)COC3CC(O)C2(C)C(O)C(OC(=O)C)C4=C(C)C(OC(=O)C)CC1(O)C4(C)C)C=5C=CC=CC5,543.9580,57,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Taxanes and derivatives,Taxane diterpenoids; Tetracyclic diterpenoids,Diterpenoids,Terpenoids
35,0.8226,24.0130,714.2760,738.2890,FAIPNHMNCVVHLA,"5,15-O-diacetyl-14-O-benzoyl-7-O-nicotinyl-3-O-propanoylmyrsinol",C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](OC(C)=O)[C@@]([C@H](OC(C3=CC=CN=C3)=O)C=C[C@@H]4C(C)=C)(CO5)[C@]4([H])[C@]5(C)[C@@H]2OC(C6=CC=CC=C6)=O)([H])[C@H]1OC(CC)=O,549.9630,59,,,,,,Myrsinane diterpenoids,Diterpenoids,Terpenoids
36,0.8226,9.9876,703.2904,713.2780,UKVKACNHLXTJKA,"2,3,5,7,15-pentaacetoxy-8-tigloyloxy-9,14-dioxojatropha-6(17),11E-diene",C=C(C1OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(/C(C)=C/C)=O)C(C(C)(C)/C=C/[C@@H](C)C([C@]2(OC(C)=O)[C@]1([H])[C@@H](OC(C)=O)[C@](C)(OC(C)=O)C2)=O)=O,558.4950,62,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
37,0.3529,11.9131,527.2628,539.1759,ZPEFYJBGAZLAKK,NCGC00380934-01,C=C[C@@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)O)[C@H]1CCOC(=O)/C=C/c1cc(O)c(O)cc1,554.5730,64,,,,,,Secoiridoid monoterpenoids,Monoterpenoids,Terpenoids
38,0.8061,72.0497,383.1653,455.2150,UZVWRTZJFCDKBF,Ambiguine_F_isonitrile,C[C@]1([C@@H]2[C@@]3([C@@]([C@]([C@@H](C2)Cl)(C=C)C)([C@H]([C@@H]([C@@](c4c3c5c1cccc5[nH]4)(C)C)O)O)[N+]#[C-])O)C,557.7500,67,,,,,,,,
39,0.8426,31.9745,703.2905,735.2650,VNPGDSQQFDEFHO,"""3,5,7,10,15-O-pentacetyl-2-O-benzoyl-14-oxo-10,18-dihydromyrsinol """,C[C@@]1(OC(C2=CC=CC=C2)=O)C[C@@]3(OC(C)=O)[C@]([C@@H](OC(C)=O)[C@@]([C@H](OC(C)=O)C=C[C@@H]4C(C)(OC(C)=O)C)(CO5)[C@]4([H])[C@]5(C)C3=O)([H])[C@H]1OC(C)=O,562.7710,70,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Hexacarboxylic acids and derivatives,Hexacarboxylic acids and derivatives,Myrsinane diterpenoids,Diterpenoids,Terpenoids
40,0.8634,82.0294,621.2909,539.2615,MVWXLRYZCZSBKW,"1,6-dihydroxy-8-(hydroxymethyl)-4,12,12,15-tetramethyl-13-[(2-methylpropanoyl)oxy]-5-oxotetracyclo[8.5.0.0²,⁶.0¹¹,¹³]pentadeca-3,8-dien-14-yl (2E)-2-methylbut-2-enoate",C/C=C(\C)C(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(=O)C(C)C,567.9880,73,,,,,,Tetracyclic diterpenoids; Tigliane diterpenoids,Diterpenoids,Terpenoids
41,0.8226,59.0046,656.2684,715.2730,NGTHIBFWOPPSSB,euphodendroidin O,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C4=CC=CC=C4)=O)=C)=O)[C@]3([H])[C@H]1O,570.1990,74,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
42,0.8226,12.9911,778.3011,765.3100,ZRMFMDZIHZKFHY,euphodendroidin L,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,579.3410,75,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
43,0.8226,61.9970,655.2760,717.2730,CZFMBNIKGDJPJQ,"(2R,3R,4S,5R,7S,8R,9S,13R,15R)-3,5,7,8,9,14,15-Heptaacetoxy-14-oxojatropha-6(17),11E-diene / jatrophane ester isolated from Euphorbia amygdaloides ssp semiperfoliata",C[C@@]1(OC(C)=O)C[C@@](C([C@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)C([C@@H]2OC(C)=O)=C)=O)(OC(C)=O)[C@]2([H])[C@H]1OC(C)=O,575.7460,76,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
44,0.4952,65.0480,732.3580,667.3100,DAAUVFZUXIGOCK,Pyoverdin E,CC(C1C(=O)NC(C(=O)NCCCCC(C(=O)NC(C(=O)N1)CCCN(C=O)O)NC(=O)C(CCCN(C=O)O)NC(=O)C(CO)NC(=O)C(CCCN=C(N)N)NC(=O)C(CO)NC(=O)C2CCNC3=C(C=C4C=C(C(=O)C=C4N23)O)NC(=O)CCC(=O)N)C(C)O)O,575.6870,77,,,,,,Cyclic peptides,Oligopeptides,Amino acids and Peptides
45,0.8217,78.0448,615.2392,693.2840,INCBRFFLYVOXNY,euphodendroidin J,C[C@@]1(O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3O)=C)=O)[C@]3([H])[C@H]1OC(C4=CC=CC=C4)=O,577.7980,79,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
46,0.8226,80.0049,677.2791,757.2840,FAUWZNGPMHRLMW,euphodendroidin N,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C4=CC=CC=C4)=O)=C)=O)[C@]3([H])[C@H]1O,579.3910,80,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
47,0.8917,0.0010,819.3040,819.3050,KOPJPWSRYZRWPD,13_-hydroxyterracinolide B,O=C1[C@]2(OC(C)=O)[C@@]([C@@H](OC(C)=O)[C@@](OC(C)=O)(C)C2)([H])[C@@H](OC3=O)[C@](CC3)(OC(C)=O)[C@H](OC(C(C)C)=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C(C)(C)/C=C/[C@]1(O)C,580.1270,82,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
48,0.8240,56.0448,737.3012,793.3460,IUQRTVVZUXBHMO,euphodendroidin M,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C(C)C)=O)C([C@@H]2OC(C(C)C)=O)=C)=O)[C@]2([H])[C@H]1OC(C3=CC=CC=C3)=O,581.7940,83,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
49,0.6649,123.1762,688.3322,565.1560,OVMFOVNOXASTPA,Isoshaftoside,O=C1C=C(OC2=C1C(O)=C(C(O)=C2C3OC(CO)C(O)C(O)C3O)C4OCC(O)C(O)C4O)C=5C=CC(O)=CC5,583.1700,85,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid 8-C-glycosides,Flavones,Flavonoids,Shikimates and Phenylpropanoids
50,0.7484,393.1909,400.1551,793.3460,IUQRTVVZUXBHMO,euphodendroidin M,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C(C)C)=O)C([C@@H]2OC(C(C)C)=O)=C)=O)[C@]2([H])[C@H]1OC(C3=CC=CC=C3)=O,586.6360,86,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
51,0.8426,43.0270,758.3000,715.2730,NGTHIBFWOPPSSB,euphodendroidin O,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C4=CC=CC=C4)=O)=C)=O)[C@]3([H])[C@H]1O,591.4570,89,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
