query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,feature_id,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
18,0.5251,358.3259,399.3081,757.6340,WOHYLYLJDCGBPO,cholic acid-C24:1,O=C(OC1CC(CC(O)C2C3CC(O)C4(C)C2CCC4C(CCC(O)=O)C)C3(C)CC1)CCCCCCCCCCCCCC=CCCCCCCCC,675.2430,1242,,,,,,Cholestane steroids,Steroids,Terpenoids
19,0.3530,142.1606,186.9809,329.1415,SQGNETKFPNXNSE,CPP_329.1415_17.9,CC(=O)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,701.1460,1272,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,Diphenylmethanes,,,Alkaloids
20,0.7781,0.0001,169.0858,169.0859,CRUILBNAQILVHZ,"1,2,3-trimethoxybenzene",COC1=C(C(=CC=C1)OC)OC,288.4690,560,,,,,,,,
21,0.3664,202.1817,186.9809,389.1626,ZKLPARSLTMPFCP,Cetirizine,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,709.2220,1281,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,Diphenylmethanes,,,Alkaloids
22,0.4645,43.9903,164.1067,208.0970,WPKMGEQXTYQXGI,Thalifoline,Oc1cc(C(N(CC2)C)=O)c2cc1OC,157.6500,129,Organic compounds,Organoheterocyclic compounds,Isoquinolines and derivatives,Isoquinolones and derivatives,Isoquinolones and derivatives,,,Alkaloids
23,0.4369,99.0205,253.1550,352.1755,PLGBHVNNYDZWGZ,Senecionine N-oxide,C\C=C1\C[C@@H](C)[C@@](C)(O)C(=O)OCC2=CC[N+]3([O-])CC[C@@H](OC1=O)[C@@H]23,318.7920,692,Organic compounds,Alkaloids and derivatives,,,Alkaloids and derivatives,,,
24,0.5391,18.0105,299.1237,281.1132,YZQCXOFQZKCETR,Aspartylphenylalanine; AIF; CE10; MS2Dec,N[C@@H](CC(=O)O)C(O)=N[C@@H](Cc1ccccc1)C(=O)O,145.0060,117,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,Small peptides,Amino acids and Peptides
26,0.9717,0.0000,1255.6350,1255.6350,RJURFGZVJUQBHK,Actinomycin D,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,558.0140,1174,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,Cyclic depsipeptides,Actinomycins,Oligopeptides,Amino acids and Peptides
28,0.4677,211.1189,814.3389,603.2200,AAQMEKVMBSHQSI,"(2R)-2-(2-((11aS)-5-(3-methoxyphenyl)-1,3-dioxo-11,11a-dihydro-1H-imidazo[1',5':1,6]pyrido[3,4-b]indol-2(3H,5H,6H)-yl)benzamido)-4-methylpentanoic acid",O=C(O)C(NC(=O)C=1C=CC=CC1N2C(=O)N3C(C=4C=CC=C(OC)C4)C=5NC=6C=CC=CC6C5CC3C2=O)CC(C)C,534.0340,1131,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Leucine and derivatives,Carboline alkaloids,Tryptophan alkaloids,Alkaloids
29,0.5251,454.1349,111.0203,565.1552,TUIJPUWSXVFWSH,NP-000004(11),OC[C@@H]1OC([C@H](O)[C@H]1O)C1=C2OC(=CC(=O)C2=C(O)C(C2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C1O)C1=CC=C(O)C=C1,696.2480,1267,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid 8-C-glycosides,Flavones,Flavonoids,Shikimates and Phenylpropanoids
30,0.6649,98.9346,788.3226,689.3880,XFVGJHHHDVZQFB,Bernardioside A,O=C(O)C12CCC(C)(C)CC2C3=CCC4C5(C)CC(O)C(OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC4(C)C3(C)CC1O,551.4140,1157,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,Triterpene saponins,Oleanane triterpenoids,Triterpenoids,Terpenoids
31,0.6611,42.0111,201.1491,159.1380,JGHZJRVDZXSNKQ,Methyl n-octanoate,CCCCCCCC(=O)OC,401.0380,961,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid methyl esters,Wax monoesters,Fatty esters,Fatty acids
32,0.9509,0.0001,443.3341,443.3340,JSPGKOBNHWTKNT,"""Cycloart-23-ene-3_, 25 diol""",C[C@@]12[C@@](C)(CC[C@@H]2[C@@H](C/C=C/C(C)(O)C)C)[C@]3([H])CC[C@@]4([H])C(C)(C)[C@@H](O)CC[C@]4(C5)[C@]35CC1,676.1910,1238,,,,,,Cycloartane triterpenoids,Triterpenoids,Terpenoids
33,0.6611,412.2344,1269.6144,857.3800,ZUADJZOWTIKNGE,"(7S,9E,11S,12R,13S,14S,15S,16R,17S,18S,19E,21Z)-13-(acetyloxy)-15,17-dihydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-6,23,27,29-tetraoxo-26-(pyrrolidin-1-yl)-8,30-dioxa-24-azatetracyclo[23.3.1.1^{4,7}.0^{5,28}]triaconta-1,3,5(28),9,19,21,25-heptae...",O=C(OC1C(C)C(OC)C=COC2(OC3=C(C2=O)C=4C(=O)C(=C(NC(=O)C(=CC=CC(C)C(O)C(C)C(O)C1C)C)C(=O)C4C(OC(=O)C(C)C)=C3C)N5CCCC5)C)C,559.4550,1176,Organic compounds,Phenylpropanoids and polyketides,Macrolactams,,Macrolactams,Ansa macrolides,Macrolides,Polyketides
34,0.8226,80.5110,687.8419,768.3529,YCGPBVPZHGYLBK,CAPREOMYCIN SULFATE,CC1N=C(O)C(N)CN=C(O)C(C2CCNC(=N)N2)N=C(O)/C(=C/NC(=N)O)N=C(O)C(CN=C(O)CC(N)CCCN)N=C1O.O=S(=O)(O)O,637.1180,1218,,,,,,Cyclic peptides,Oligopeptides,Amino acids and Peptides
35,0.7788,0.0002,166.0861,166.0863,COLNVLDHVKWLRT,L-Phenylalanine,N[C@@H](Cc1ccccc1)C(=O)O,105.7680,92,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Phenylalanine and derivatives,Aminoacids,Small peptides,Amino acids and Peptides; Shikimates and Phenylpropanoids
36,0.6268,93.0543,610.1843,517.1300,KRZBCHWVBQOTNZ,"3,5-Di-caffeoylquinic acid",O=C(OC1CC(O)(C(=O)O)CC(OC(=O)C=CC2=CC=C(O)C(O)=C2)C1O)C=CC3=CC=C(O)C(O)=C3,839.8300,1341,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Quinic acids and derivatives,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
38,0.3669,164.9969,294.0971,459.0940,WMBWREPUVVBILR,Epigallocatechin gallate,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,352.4140,822,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Catechin gallates,Flavan-3-ols,Flavonoids,Shikimates and Phenylpropanoids
39,0.8425,0.0006,428.1723,428.1717,DQQCCKFZJNINST,FUMIQUINAZOLINE A,C[C@@H]1N[C@H]2N(C1=O)c1ccccc1[C@@]2(O)C[C@@H]1C(=O)N[C@@H](C)c2nc3ccccc3c(=O)n21,345.6310,803,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines,Quinazolines,Quinazoline alkaloids,Anthranilic acid alkaloids,Alkaloids
40,0.7788,0.0003,222.0967,222.0970,OVRNDRQMDRJTHS,N-acetyl-alpha-D-glucosamine,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O,33.3490,60,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Acylaminosugars,Aminosugars,Aminosugars and aminoglycosides,Carbohydrates
41,0.6611,48.9518,326.0462,374.9980,YFNPRWZVZFBBMG,"""2-amino-4-(4-bromophenyl)-6-(hydroxymethyl)-8-oxo-4H-pyrano[3,2-b]pyran-3-carb onitrile CollisionEnergy:205060""",N#CC1=C(N)Oc2c(oc(CO)cc2=O)C1c1ccc(Br)cc1,116.9460,98,Organic compounds,Organoheterocyclic compounds,Pyrans,Pyranones and derivatives,Pyranones and derivatives,Aminoacids,Small peptides,Amino acids and Peptides; Shikimates and Phenylpropanoids
42,0.7176,9.2179,792.3559,783.1380,ZLPIAMWUFCRMLD,_130039,[H][C@@]1(O)[C@@](C(N(C)[C@]2(C(C)C)C3=O)=O)([S@@]2=S)N3[C@@]4([H])NC5=C([C@]41[C@]67C8=C(N[C@@]6([H])N(C([C@@](COC(C)=O)([S@]9=S)N(C)C%10=O)=O)[C@]%109[C@]7(O)[H])C=CC=C8)C=CC=C5,525.7040,1125,,,,,,,,
43,0.4649,31.9298,813.3541,781.4243,DRWAFTJWJQAXRC,NCGC00381417-01,CCC(C)C1NC(=O)C2CCCN2C(=O)C(C(C)C)NC(=O)c2ccccc2NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(C)NC(=O)C(C(C)O)NC1=O,452.7580,1036,,,,,,Cyclic peptides,Oligopeptides,Amino acids and Peptides
45,0.7159,145.0819,766.3409,621.2590,XJCFRRLSRUABCT,Guattaminone,COC(C(OC1=C(C(OC)=CC(CCN2C)=C1[C@@]2(CC3=CC4=C(O)C=C3)[H])OC)=C5)=CC6=C5C(C(C(C=C7)=CC4=C7OC)=O)=NCC6,551.2660,1156,,,,,,Isoquinoline alkaloids,Tyrosine alkaloids,Alkaloids
46,0.6611,290.1235,924.4655,634.3420,DJYDCIUMNXZSBH,"16-butan-2-yl-3-(2,3-dihydroxypropyl)-10,11,14-trimethyl-13-propan-2-yl-4-oxa-1,8,11,14,17-pentazabicyclo[17.3.0]docosane-2,5,9,12,15,18-hexone",CCC(C)C1NC(=O)C2CCCN2C(=O)C(CC(O)CO)OC(=O)CCNC(=O)C(C)N(C)C(=O)C(C(C)C)N(C)C1=O,523.7630,1124,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,Cyclic depsipeptides,Cyclic peptides; Depsipeptides,Oligopeptides,Amino acids and Peptides; Polyketides
47,0.6611,62.0003,281.1133,219.1130,MVAWJSIDNICKHF,N_acetyl_serotonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)O,151.4390,123,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Hydroxyindoles,Hydroxyindoles,Simple indole alkaloids,Tryptophan alkaloids,Alkaloids
48,0.8217,21.9817,490.2227,468.2410,CVWJKBJRSZXDIW,Penigequinolones A and B (diastereomers)_120177,O=C1[C@H](OC)[C@](C2=CC=C(OC)C=C2)(O)C3=C(C=CC(/C=C/C4(C)CCC(C)(C)CO4)=C3O)N1,401.1880,963,,,,,,Quinoline alkaloids,Tryptophan alkaloids; Anthranilic acid alkaloids,Alkaloids
49,0.4677,43.0057,239.1389,196.1332,JUVSRZCUMWZBFK,"2,2'-[(4-Methylphenyl)imino]diethanol",CC1=CC=C(C=C1)N(CCO)CCO,284.6610,540,,,,,,,,
50,0.6649,241.2037,188.1073,429.3110,HHYSVBKZPQJFLV,Trp-C15:0,CCCCCCCCCCCCCCC(NC(C(O)=O)CC1=CNC2=C1C=CC=C2)=O,385.0420,928,,,,,,N-acyl amines,Fatty amides,Fatty acids
51,0.3529,75.2238,403.4258,328.2020,JOTYGPRTUGULGF,"1-(2,4-dimethoxybenzyl)-4-(pyridin-4-ylmethyl)piperazine",COc1cc(OC)c(CN2CCN(Cc3ccncc3)CC2)cc1,314.3210,676,Organic compounds,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes,Dimethoxybenzenes,Pyridine alkaloids,Nicotinic acid alkaloids,Alkaloids
52,0.5869,0.0000,227.1754,227.1754,LSAMUAYPDHUBQD,Crotetamide,O=C(N(CC)C(C(=O)N(C)C)CC)/C=C/C,304.0700,635,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,,,
53,0.8217,13.0148,615.3152,628.3300,RJURFGZVJUQBHK,Actinomycin D,[H][C@@]12CCCN1C(=O)[C@]([H])(NC(=O)[C@@]([H])(NC(=O)C1=CC=C(C)C3=C1N=C1C(O3)=C(C)C(=O)C(N)=C1C(=O)N[C@]1([H])C(=O)N[C@]([H])(C(C)C)C(=O)N3CCC[C@@]3([H])C(=O)N(C)CC(=O)N(C)[C@@]([H])(C(C)C)C(=O)O[C@]1([H])C)[C@@]([H])(C)OC(=O)[C@]([H])(C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C,549.2590,1150,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,Cyclic depsipeptides,Actinomycins,Oligopeptides,Amino acids and Peptides
54,0.7166,29.0368,626.3068,597.2700,ONCMJSZOSXHIGN,"(3S,4S,21R)-14-Ethyl-9-(hydroxymethyl)-21-(methoxycarbonyl)-4,8,13,18-tetramethyl-20-oxo-3-phorbinepropanoic acid",OC(CC[C@H]1[C@@H](C2=N/C1=C([C@@H](C(OC)=O)C3=O)\C4=C3C(C)=C(N4)/C=C5N=C(C(C)=C\5CC)/C=C(N/6)/C(CO)=C(C6=C\2)C)C)=O,549.1270,1148,,,,,,Carbazole alkaloids,Tryptophan alkaloids,Alkaloids
55,0.4309,162.0620,418.0771,256.0151,PYZRQGJRPPTADH,Lamotrigine,NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1,32.2500,41,Organic compounds,Benzenoids,Benzene and substituted derivatives,Halobenzenes,Dichlorobenzenes,,,Alkaloids
56,0.6611,346.2192,1229.6192,883.4000,ZZKIZZPHRSGBCQ,"(7S,9E,11S,12R,13S,14S,15S,16R,17S,18S,19E,21Z)-13-(acetyloxy)-15,17-dihydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-6,23,27,29-tetraoxo-26-(piperidin-1-yl)-8,30-dioxa-24-azatetracyclo[23.3.1.1^{4,7}.0^{5,28}]triaconta-1,3,5(28),9,19,21,25-heptaen...",O=C(OC=1C=2C(=O)C=3NC(=O)C(=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(=O)C)C(C)C(OC)C=COC4(OC(=C(C4=O)C2C(=O)C3N5CCCCC5)C1C)C)C)C=6C=CC=CC6,550.1580,1153,Organic compounds,Phenylpropanoids and polyketides,Macrolactams,,Macrolactams,Ansa macrolides,Macrolides,Polyketides
57,0.6611,110.0493,378.1447,488.1940,GSAQMCFIOIUNEM,"""N-(2-ethylphenyl)-2-[2-oxo-4-(2-1,2,3,4-tetrahydroisoquinolylcarbonyl)hydroqui nolyl]acetamide CollisionEnergy:205060""",CCc1ccccc1N=C(O)Cn1c(=O)cc(C(=O)N2CCc3ccccc3C2)c2ccccc21,338.8060,780,,,,,,,,Alkaloids
58,0.5869,0.0000,232.1180,232.1180,HVHVSXVMYPKOKL,2-(3-carboxypropanoylamino)hexanoic acid CollisionEnergy:205060,CCCCC(N=C(O)CCC(=O)O)C(=O)O,241.4940,317,,,,,,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
59,0.4645,31.0419,394.3524,363.3105,WPMWEFXCIYCJSA,"3,6,9,12-Tetraoxatetracosan-1-ol",CCCCCCCCCCCCOCCOCCOCCOCCO,674.7200,1243,,,,,,Monoacylglycerols,Glycerolipids,Fatty acids
60,0.7776,0.0000,266.1023,266.1023,CWAGPBPLOYGROC,CHEMBL446487,O=C(O)CCC(=O)NC(Cc1ccccc1)C(=O)O,257.7320,424,,,,,,Dipeptides,Small peptides,Amino acids and Peptides
61,0.6649,156.1514,201.1485,357.2999,MJOKHGMXPJXFTG,Dihexyl nonanedioate,CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,389.9590,937,,,,,,Wax monoesters,Fatty esters,Fatty acids
62,0.7283,293.0479,450.1545,743.2024,OLBLWNPOURNBCY,Cyanidin-3-O-sambubioside-5-O-glucoside,OC[C@H]1O[C@@H](OC2=CC(O)=CC3=[O+]C(=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)C=C23)C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,345.5900,798,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Anthocyanidin-5-O-glycosides,,,
64,0.3669,28.0316,306.1084,334.1400,OSDYZSDCSJYUFO,"11-Hydroxy-11-isopropyl-4-methoxy-8-methyl-10,11-dihydro-6H-oxepino[2,3-d]pyrazino[1,2-a]pyrimidine-6,9(8H)-dione",COC\1=C\C2=C(O\C=C1)\N=C3/N(C(C)C(=O)NC3(O)C(C)C)C2=O,168.6110,154,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Pyrimidones,Other indole diketopiperazine alkaloids,Peptide alkaloids,Alkaloids; Amino acids and Peptides
65,0.9150,0.0002,116.0704,116.0706,ONIBWKKTOPOVIA,Proline,C1CC(NC1)C(=O)O,33.1730,55,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Proline and derivatives,Aminoacids; Dipeptides,Small peptides,Amino acids and Peptides
66,0.7484,124.0537,271.1543,395.2080,UWZYFRAAONHVCD,,CC(C)[C@H](N1C(=O)N2CCc3c([nH]c4ccccc34)[C@@]2(C)C1=O)C(=O)NC5CC5,322.3070,712,,,,,,Carboline alkaloids,Tryptophan alkaloids,Alkaloids
67,0.7513,0.0002,321.1062,321.1060,IICZVACQCLOELP,"""N-{[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]amino}(3-methoxyphenyl)carboxam ide CollisionEnergy:102040""",COc1cccc(C(O)=NNC2OC(CO)C(O)C2O)c1,146.2000,114,,,,,,,,Shikimates and Phenylpropanoids
68,0.4621,63.0596,329.0544,392.1140,WKANKAPDOZGYJK,"""2-methoxyethyl 2-amino-4-(2-fluorophenyl)-6-(hydroxymethyl)-8-oxo-4H-pyrano[3, 2-b]pyran-3-carboxylate CollisionEnergy:205060""",COCCOC(=O)C1=C(N)Oc2c(oc(CO)cc2=O)C1c1ccccc1F,116.6040,95,Organic compounds,Organoheterocyclic compounds,Pyrans,Pyranones and derivatives,Pyranones and derivatives,,,
69,0.6649,92.0989,275.1031,367.2020,IWEYXWIPVZEVPT,,COC(=O)C1(CO)C2Cc3c(C4CC1/C(=C\C)/CN42)n(C)c5ccccc35,217.4930,252,Organic compounds,Alkaloids and derivatives,Macroline alkaloids,,Macroline alkaloids,Corynanthe type,Tryptophan alkaloids,Alkaloids
70,0.7577,0.0005,428.1722,428.1717,DQQCCKFZJNINST,FUMIQUINAZOLINE A,C[C@@H]1N[C@H]2N(C1=O)c1ccccc1[C@@]2(O)C[C@@H]1C(=O)N[C@@H](C)c2nc3ccccc3c(=O)n21,325.9970,731,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines,Quinazolines,Quinazoline alkaloids,Anthranilic acid alkaloids,Alkaloids
71,0.5869,0.0001,130.1589,130.1590,CBXCPBUEXACCNR,Tetraethylammonium,CC[N+](CC)(CC)CC,195.5730,206,,,,,,,,
72,0.7781,0.0004,132.1016,132.1020,AGPKZVBTJJNPAG,ISOLEUCINE,CC[C@H](C)[C@H](N)C(O)=O,64.0050,84,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Isoleucine and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
73,0.6611,198.0640,417.1770,219.1130,MVAWJSIDNICKHF,N-Acetylserotonin,CC(=O)NCCc1c[nH]c2c1cc(cc2)O,160.4330,143,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Hydroxyindoles,Hydroxyindoles,Simple indole alkaloids,Tryptophan alkaloids,Alkaloids
